model,pk,main_category,name,vendor,slug
category.category,257,31,Transport,1,transport
category.category,258,31,Lessons & Workshops,1,lessons-&-workshops
category.category,259,31,Telco,1,telco
category.category,260,31,Travel,1,travel
category.category,261,31,E-Money,1,e-money
category.category,262,31,Gaming & App Stores,1,gaming-&-app-stores
category.category,263,31,Streaming,1,streaming
category.category,264,31,Shopnow,1,shopnow
category.category,265,32,Magazines & Newspaper,1,magazines-&-newspaper
category.category,266,32,Books,1,books
category.category,267,32,E-Books,1,e-books
category.category,268,32,Others,1,others
category.category,269,33,Desktop Computers,1,desktop-computers
category.category,270,33,Monitors,1,monitors
category.category,271,33,Desktop & Laptop Components,1,desktop-&-laptop-components
category.category,272,33,Data Storage,1,data-storage
category.category,273,33,Network Components,1,network-components
category.category,274,33,Softwares,1,softwares
category.category,275,33,Office Equipment,1,office-equipment
category.category,276,33,Printers & Scanners,1,printers-&-scanners
category.category,277,33,Peripherals & Accessories,1,peripherals-&-accessories
category.category,278,33,Keyboards & Mice,1,keyboards-&-mice
category.category,279,33,Laptops,1,laptops
category.category,280,33,Others,1,others
category.category,281,34,Pay Scan & Pay Voucher,1,pay-scan-&-pay-voucher
category.category,282,34,Deals,1,deals
