model,pk,main_category,name,slug
category.category,143,18,Amplifiers & Mixers,amplifiers-and-mixers
category.category,144,18,Home Audio & Speakers,home-audio-and-speakers
category.category,145,18,Audio & Video Cables & Converters,audio-and-video-cables-and-converters
category.category,146,18,Others,others
category.category,147,19,Convenience / Ready-to-eat,convenience-ready-to-eat
category.category,148,19,Snacks,snacks
category.category,149,19,Food Staples,food-staples
category.category,150,19,Cooking Essentials,cooking-essentials
category.category,151,19,Baking Needs,baking-needs
category.category,152,19,Breakfast Cereals & Spread,breakfast-cereals-and-spread
category.category,153,19,Beverages,beverages
category.category,154,19,Dairy & Eggs,dairy-and-eggs
category.category,155,19,Fresh & Frozen Food,fresh-and-frozen-food
category.category,156,19,Bakery,bakery
category.category,157,19,Alcoholic Beverages,alcoholic-beverages
category.category,158,19,Gift Set & Hampers,gift-set-and-hampers
category.category,159,19,Others,others
category.category,160,20,Pet Food,pet-food
category.category,161,20,Pet Accessories,pet-accessories
category.category,162,20,Litter & Toilet,litter-and-toilet
category.category,163,20,Pet Grooming,pet-grooming
category.category,164,20,Pet Clothing & Accessories,pet-clothing-and-accessories
category.category,165,20,Pet Healthcare,pet-healthcare
category.category,166,20,Others,others
category.category,167,21,Baby Travel Essentials,baby-travel-essentials
category.category,168,21,Feeding Essentials,feeding-essentials
category.category,169,21,Maternity Accessories,maternity-accessories
category.category,170,21,Maternity Healthcare,maternity-healthcare
category.category,171,21,Bath & Body Care,bath-and-body-care
category.category,172,21,Nursery,nursery
category.category,173,21,Baby Safety,baby-safety
category.category,174,21,Milk Formula & Baby Food,milk-formula-and-baby-food
category.category,175,21,Baby Healthcare,baby-healthcare
category.category,176,21,Diapering & Potty,diapering-and-potty
category.category,177,21,Toys,toys
category.category,178,21,Gift Sets & Packages,gift-sets-and-packages
category.category,179,21,Others,others
category.category,180,22,Baby Clothes,baby-clothes
category.category,181,22,Baby Mittens & Footwear,baby-mittens-and-footwear
category.category,182,22,Baby & Kids Accessories,baby-and-kids-accessories
category.category,183,22,Boy Clothes,boy-clothes
category.category,184,22,Girl Clothes,girl-clothes
category.category,185,22,Boy Shoes,boy-shoes
category.category,186,22,Girl Shoes,girl-shoes
category.category,187,22,Others,others
category.category,188,23,Console Machines,console-machines
category.category,189,23,Console Accessories,console-accessories
category.category,190,23,Video Games,video-games
category.category,191,23,Others,others
category.category,192,24,Cameras,cameras
category.category,193,24,Security Cameras & Systems,security-cameras-and-systems
category.category,194,24,Lenses,lenses
category.category,195,24,Lens Accessories,lens-accessories
category.category,196,24,Camera Accessories,camera-accessories
category.category,197,24,Camera Care,camera-care
category.category,198,24,Drones,drones
category.category,199,24,Drone Accessories,drone-accessories
category.category,200,24,Others,others
category.category,201,25,Home Fragrance & Aromatherapy,home-fragrance-and-aromatherapy
category.category,202,25,Bathrooms,bathrooms
category.category,203,25,Bedding,bedding
category.category,204,25,Decoration,decoration
category.category,205,25,"Hand Warmers, Hot Water Bags & Ice Bags","hand-warmers,-hot-water-bags-and-ice-bags"
category.category,206,25,Furniture,furniture
category.category,207,25,Gardening,gardening
category.category,208,25,Tools & Home Improvement,tools-and-home-improvement
category.category,209,25,Home Care Supplies,home-care-supplies
category.category,210,25,Kitchenware,kitchenware
category.category,211,25,Dinnerware,dinnerware
category.category,212,25,Safety & Security,safety-and-security
category.category,213,25,Home Organizers,home-organizers
category.category,214,25,Party Supplies,party-supplies
category.category,215,25,Fengshui & Religious Supplies,fengshui-and-religious-supplies
category.category,216,25,Others,others
category.category,217,26,Sports & Outdoor Recreation Equipments,sports-and-outdoor-recreation-equipments
category.category,218,26,Sports Footwear,sports-footwear
category.category,219,26,Sports & Outdoor Apparels,sports-and-outdoor-apparels
category.category,220,26,Sports & Outdoor Accessories,sports-and-outdoor-accessories
category.category,221,27,Gift & Wrapping,gift-and-wrapping
category.category,222,27,Writing & Correction,writing-and-correction
category.category,223,27,School & Office Equipment,school-and-office-equipment
category.category,224,27,Art Supplies,art-supplies
category.category,225,27,Notebooks & Papers,notebooks-and-papers
category.category,226,27,Letters & Envelopes,letters-and-envelopes
category.category,227,27,Others,others
category.category,228,28,Collectible Items,collectible-items
category.category,229,28,Souvenirs,souvenirs
category.category,230,28,Toys & Games,toys-and-games
category.category,231,28,Musical Instruments & Accessories,musical-instruments-and-accessories
category.category,232,28,Vinyl Records,vinyl-records
category.category,233,28,Photo Albums,photo-albums
category.category,234,28,Needlework,needlework
category.category,235,28,Others,others
category.category,236,29,Automobiles,automobiles
category.category,237,29,Automobile Interior Accessories,automobile-interior-accessories
category.category,238,29,Automobile Exterior Accessories,automobile-exterior-accessories
category.category,239,29,Automobile Spare Parts,automobile-spare-parts
category.category,240,29,Automotive Tools,automotive-tools
category.category,241,29,Automotive Care,automotive-care
category.category,242,29,Automotive Oils & Lubes,automotive-oils-and-lubes
category.category,243,29,Automotive Keychains & Key Covers,automotive-keychains-and-key-covers
category.category,244,29,Others,others
category.category,245,29,Automotive Services & Installation,automotive-services-and-installation
category.category,246,30,Motorcycles,motorcycles
category.category,247,30,Motorcycle Accessories,motorcycle-accessories
category.category,248,30,Motorcycle Spare Parts,motorcycle-spare-parts
category.category,249,30,Motorcycle Helmets & Riding Gear,motorcycle-helmets-and-riding-gear
category.category,250,30,Others,others
category.category,251,31,Events & Attractions,events-and-attractions
category.category,252,31,F&B,fandb
category.category,253,31,Shopping,shopping
category.category,254,31,Utilities,utilities
category.category,255,31,Services,services
category.category,256,31,Beauty & Wellness,beauty-and-wellness
category.category,257,31,Transport,transport
category.category,258,31,Lessons & Workshops,lessons-and-workshops
category.category,259,31,Telco,telco
category.category,260,31,Travel,travel
category.category,261,31,E-Money,e-money
category.category,262,31,Gaming & App Stores,gaming-and-app-stores
category.category,263,31,Streaming,streaming
category.category,264,31,Shopnow,shopnow
category.category,265,32,Magazines & Newspaper,magazines-and-newspaper
category.category,266,32,Books,books
category.category,267,32,E-Books,e-books
category.category,268,32,Others,others
category.category,269,33,Desktop Computers,desktop-computers
category.category,270,33,Monitors,monitors
category.category,271,33,Desktop & Laptop Components,desktop-and-laptop-components
category.category,272,33,Data Storage,data-storage
category.category,273,33,Network Components,network-components
category.category,274,33,Softwares,softwares
category.category,275,33,Office Equipment,office-equipment
category.category,276,33,Printers & Scanners,printers-and-scanners
category.category,277,33,Peripherals & Accessories,peripherals-and-accessories
category.category,278,33,Keyboards & Mice,keyboards-and-mice
category.category,279,33,Laptops,laptops
category.category,280,33,Others,others
category.category,281,34,Pay Scan & Pay Voucher,pay-scan-and-pay-voucher
category.category,282,34,Deals,deals
category.category,283,1,Hoodies & sweatshirts,hoodies-and-sweatshirts
category.category,284,1,Socks & Stockings,socks-andstockings
category.category,285,1,Others,others
category.category,286,6,Socks,socks
category.category,287,25,Lighting,lighting
category.category,288,26,Others,others
category.category,289,28,"CD, DVD & Bluray",cd-dvd-and-bluray
category.category,290,31,Others,others
